class	namespace	file	start	end	base	members
ACADExportOptions	Autodesk.Revit.DB	Autodesk/Revit/DB/__init__.py	3	28	BaseExportOptions	22
ACADVersion	Autodesk.Revit.DB	Autodesk/Revit/DB/__init__.py	29	33		0
ACAObjectPreference	Autodesk.Revit.DB	Autodesk/Revit/DB/__init__.py	34	38		0
ADPUtil	Autodesk.AutoCAD.Internal	Autodesk/AutoCAD/Internal/__init__.py	3	8		1
ADTDwgVersion	Autodesk.Aec.DatabaseServices	Autodesk/Aec/DatabaseServices.py	3	7		0
APIObject	Autodesk.Revit.DB	Autodesk/Revit/DB/__init__.py	39	44		2
AXMImportOptions	Autodesk.Revit.DB	Autodesk/Revit/DB/__init__.py	45	59	BaseImportOptions	11
AbbreviationAlignmentEnhancedType	Autodesk.Civil.Settings	Autodesk/Civil/Settings.py	3	7		0
AbbreviationAlignmentType	Autodesk.Civil.Settings	Autodesk/Civil/Settings.py	8	12		0
AbbreviationCantType	Autodesk.Civil.Settings	Autodesk/Civil/Settings.py	13	17		0
AbbreviationProfileType	Autodesk.Civil.Settings	Autodesk/Civil/Settings.py	18	22		0
AbbreviationSuperelevationType	Autodesk.Civil.Settings	Autodesk/Civil/Settings.py	23	27		0
AbortOnException	Autodesk.Navisworks.Api.Interop	Autodesk/Navisworks/Api/Interop/__init__.py	3	10		2
AboutToBeginBackgroundPublishingEventArgs	Autodesk.AutoCAD.Publishing	Autodesk/AutoCAD/Publishing.py	3	10	EventArgs	4
AboutToBeginBackgroundPublishingEventHandler	Autodesk.AutoCAD.Publishing	Autodesk/AutoCAD/Publishing.py	11	19		5
AboutToBeginPublishingEventArgs	Autodesk.AutoCAD.Publishing	Autodesk/AutoCAD/Publishing.py	20	28	EventArgs	5
AboutToBeginPublishingEventHandler	Autodesk.AutoCAD.Publishing	Autodesk/AutoCAD/Publishing.py	29	37		5
AboutToEndPublishingEventHandler	Autodesk.AutoCAD.Publishing	Autodesk/AutoCAD/Publishing.py	38	46		5
AboutToMoveFileEventHandler	Autodesk.AutoCAD.Publishing	Autodesk/AutoCAD/Publishing.py	47	55		5
AbstractViewTable	Autodesk.AutoCAD.DatabaseServices	Autodesk/AutoCAD/DatabaseServices/__init__.py	3	48	SymbolTable	42
AbstractViewTableRecord	Autodesk.AutoCAD.DatabaseServices	Autodesk/AutoCAD/DatabaseServices/__init__.py	49	126	SymbolTableRecord	74
AcAeUtilities	Autodesk.AutoCAD.Internal	Autodesk/AutoCAD/Internal/__init__.py	9	36		12
AcDownloadCallback	Autodesk.AutoCAD.Internal	Autodesk/AutoCAD/Internal/__init__.py	37	45		5
AcEdIPEReactorImpl	Autodesk.AutoCAD.Internal.Reactors	Autodesk/AutoCAD/Internal/Reactors.py	3	7		0
AcEdOPMObjectFilterReactorImpl	Autodesk.AutoCAD.Internal.Reactors	Autodesk/AutoCAD/Internal/Reactors.py	8	12		0
AcEdPropertyInspectorReactorImpl	Autodesk.AutoCAD.Internal.PropertyInspector	Autodesk/AutoCAD/Internal/PropertyInspector.py	3	7		0
